order_item_id,order_id,item_id,item_name,price,quantity,line_total
1,200001,414,Dum gosht handi,345,1,345
2,200001,140,Day Spl Chicken,200,1,200
3,200002,781,Punjabi Egg Curry [250 Gm],110,1,110
4,200002,593,Prawn Fry,250,1,250
5,200003,1034,Braised Cottage Cheese In Ginger Coriander Sauce,645,1,645
6,200003,209,Kodubale 200Gms,95,1,95
7,200004,794,Achari Matki Subzi,240,1,240
8,200004,208,Peri Peri Fries,90,1,90
9,200004,306,Litchi Rabdi,77,3,231
10,200005,904,Gatta Masala,180,1,180
11,200005,1057,Basil Lemonade,89,1,89
12,200005,703,Gobi 65,185,2,370
13,200006,119,Mix Veg Roast,175,2,350
14,200006,169,Chilli Garlic Prawn,30,1,30
15,200007,725,Veg Special Gravy,195,1,195
16,200007,624,Chips Masala 80Gm,65,2,130
17,200008,470,Baby Corn in Manchurian Sauce,250,2,500
18,200008,344,Crispy Fried Calamari & Sea Prawns,495,1,495
19,200009,379,Baghara Bhat Fried Rice,220,2,440
20,200009,480,Kaju Badam Karachi Halwa,183,1,183
21,200010,1021,1 Prawns Curry With 1 Rice,268,1,268
22,200010,64,Chilly Chicken Andhra Style,289,1,289
23,200011,1184,Fish Curry Rice Bowl,209,1,209
24,200012,1058,Veg Chinese Chop Suey Soft Noodles (Bland),250,1,250
25,200012,29,Crispy Vegetables In Chilli Plum Sauce,265,2,530
26,200013,993,Prawn Chengdu Chowmien,300,1,300
27,200013,1193,Chicken Pepper Dry [boneless],255,1,255
28,200014,234,Ginger Thokku [400 Gm],299,1,299
29,200014,296,Bun Tikki Cheese Slider,109,1,109
30,200014,499,Brownie With Choclate Sauce,51,1,51
31,200015,1026,Kadhi Gole,309,1,309
32,200015,381,Kai Ga Prao,260,1,260
33,200016,667,Yellow Pad Thai Noodles,279,1,279
34,200016,342,Spanish Delight Ice cream,160,1,160
35,200017,606,Fish Biryani,329,1,329
36,200017,222,Neelkamal Special Toast [1 Toast],169,2,338
37,200017,577,Kesar Badam (200 ml),60,1,60
38,200018,836,Dal Lasuni Tadka,240,1,240
39,200018,895,Chicken boti kebab (6 pcs),315,1,315
40,200019,8,Veg Garlic Hakka Noodles,239,1,239
41,200019,659,Boiled Eggs (2 Pcs),30,1,30
42,200019,1122,Milk Cake,51,1,51
43,200019,1000,Vegetable Sandwich,195,1,195
44,200020,1148,Murgh Dum Biryani,260,1,260
45,200020,58,Plain Curd (300ml),49,2,98
46,200021,73,Murgh Biryani Boneless,30,1,30
47,200022,913,Paneer Kulcha,90,2,180
48,200023,724,Malvani Chicken Curry,280,1,280
49,200023,518,Prawn Chilly Dry,250,1,250
50,200023,593,Prawn Fry,250,1,250
51,200024,583,Baby Corn Kadai,95,1,95
52,200025,1085,Paneer Butter Masala Thali,289,1,289
53,200025,591,Flamed Platter 3 (Seafood Platter),750,1,750
54,200025,909,New York Cheesecake,209,1,209
55,200026,129,Naadan Mutton Curry,350,1,350
56,200026,29,Crispy Vegetables In Chilli Plum Sauce,265,1,265
57,200026,118,Tropical Fruit Pastry[80 Gm],129,2,258
58,200026,774,Hard Base Pizza 6',97,2,194
59,200027,18,Executive Mushroom Biryani [500 Ml],128,1,128
60,200027,11,Mineral Water [500 Ml,29,1,29
61,200028,836,Dal Lasuni Tadka,240,1,240
62,200029,904,Gatta Masala,180,1,180
63,200029,593,Prawn Fry,250,1,250
64,200030,823,Veg Tawa Style,370,1,370
65,200030,325,Chicken Pepper Dry ( 6 Pcs ),180,1,180
66,200031,887,Aloo Mattar Dry,95,1,95
67,200032,484,Boneless Biryani Combo,349,1,349
68,200032,218,Chilli Beef,279,1,279
69,200032,1028,Malpua With Rabadi,189,1,189
70,200033,973,Chicken Kung Pow (gravy) (chinese),320,1,320
71,200033,166,Chilly Gobi,245,1,245
