restaurant_id,restaurant_name,city,cuisine,rating,rating_count,cost_for_two,swiggy_url
101,Frooze,Bangalore,Ice Cream,5.0,20,250,https://www.swiggy.com/restaurants/frooze-indiranagar-bangalore-549352
102,Tandoori Zaika,Bangalore,Chinese,5.0,20,250,https://www.swiggy.com/restaurants/tandoori-zaika-indirapuram-mahadevpura-bangalore-447160
103,The Chinese Connection,Bangalore,Chinese,5.0,20,250,https://www.swiggy.com/restaurants/the-chinese-connection-indirapuram-mahadevpura-bangalore-447104
104,Oh Bangla,Bangalore,Chinese,5.0,20,250,https://www.swiggy.com/restaurants/oh-bangla-indirapuram-mahadevpura-bangalore-447909
105,Provenance Deli and Desserts,Bangalore,Desserts,5.0,20,700,https://www.swiggy.com/restaurants/provenance-deli-and-desserts-ashok-nagar-bangalore-213832
106,Fabelle Chocolates - ITC Gardenia,Bangalore,Bakery,5.0,20,600,https://www.swiggy.com/restaurants/fabelle-chocolates-itc-gardenia-bengaluru-ashok-nagar-bangalore-304580
107,KELVIN SCALE,Bangalore,Indian,5.0,20,150,https://www.swiggy.com/restaurants/kelvin-scale-kadubeesanahalli-marathahalli-bangalore-261047
108,Creams and Bites,Bangalore,Ice Cream,5.0,20,250,https://www.swiggy.com/restaurants/creams-and-bites-koramangala-bangalore-528286
109,The Lassi Pub,Bangalore,Juices,5.0,20,100,https://www.swiggy.com/restaurants/the-lassi-pub-hal-2nd-stage-indiranagar-bangalore-169355
110,Shawarma Indiah,Bangalore,Arabian,5.0,20,400,https://www.swiggy.com/restaurants/shawarma-indiah-indiranagar-bangalore-567694
111,HRX by Eatfit,Bangalore,Healthy Food,5.0,20,270,https://www.swiggy.com/restaurants/hrx-by-eatfit-stage-2-btm-layout-bangalore-558760
112,Fresh crunch pizza,Bangalore,Pizzas,5.0,20,400,https://www.swiggy.com/restaurants/fresh-crunch-pizza-indiranagar-bangalore-559737
113,JUST CREAMERY - Artisanal Healthy Ice Cream,Bangalore,Ice Cream,5.0,20,200,https://www.swiggy.com/restaurants/just-creamery-artisanal-healthy-ice-cream-jp-nagar-bangalore-557976
114,Minus 30,Bangalore,Ice Cream,5.0,20,250,https://www.swiggy.com/restaurants/minus-30-indiranagar-bangalore-549127
115,Hot Chillies Fast  Food,Bangalore,Chinese,5.0,20,250,https://www.swiggy.com/restaurants/hot-chillies-fast-food-btm-bangalore-579824
116,Petfull Paratha  2X Fillings,Bangalore,North Indian,5.0,20,250,https://www.swiggy.com/restaurants/petfull-paratha-2x-fillings-electronic-city-bangalore-569202
117,Mamaji PavBhaji,Bangalore,Street Food,5.0,20,250,https://www.swiggy.com/restaurants/mamaji-pavbhaji-electronic-city-bangalore-569185
118,ESCOBAR PANINI s,Bangalore,Fast Food,5.0,20,350,https://www.swiggy.com/restaurants/escobar-panini-s-btm-bangalore-569697
